"route","calculatorName","serviceClass","inputField","uiUnit","internalUnit","formula","roundingRule","policyId","effectiveFrom","officialSource","verifiedAt","severity"
"/jeonse-loan-interest-calculator","전세대출 이자","loan.ts","principal","원/만원","원","interest-only: principal * annualRate / 100 / 12; equal-payment: annuity formula; equal-principal: fixed monthly principal plus remaining balance interest","원 단위 Math.round via roundTo","loan-interest","","","2026-07-28","PASS/P2"
"/jeonse-loan-interest-calculator","전세대출 이자","loan.ts","guaranteeFeeRate","%","percent","principal * guaranteeFeeRate / 100 * loanYears","원 단위 Math.round","loan-interest","","","2026-07-28","P2"
"/rent-vs-jeonse-calculator","월세 vs 전세","rent-vs-jeonse.ts","monthlyRent,rentGrowthRate","원/만원,%","원,percent","sum yearly stepped rent: rent * (1 + growthRate)^floor(month/12)","원 단위 Math.round","none","","","2026-07-28","P1"
"/rent-vs-jeonse-calculator","월세 vs 전세","rent-vs-jeonse.ts","jeonseDeposit,jeonseLoanAmount,savingRate","원/만원,%","원,percent","jeonse opportunity cost = max(deposit - loan, 0) * savingRate * years; loan interest = loan * rate * years","원 단위 Math.round","none","","","2026-07-28","P1"
"/dsr-calculator","주택담보대출 DSR","dsr.ts","mortgageAmount,mortgageRate,mortgageYears","원/만원,%,년","원,percent,개월","annualMortgagePayment = equal-payment monthly * 12","원 단위 Math.round","dsr-stress","2026-07-01","https://www.fsc.go.kr","2026-07-28","P0-V"
"/dsr-calculator","주택담보대출 DSR","dsr.ts","stressRate","%p","percentage point","stress assessment uses mortgageRate + stressRate; actual totalAnnualRepayment remains contract-rate result","percent 2 decimals, won rounded","dsr-stress","2026-07-01","https://www.fsc.go.kr","2026-07-28","P0 fixed"
"/acquisition-tax-calculator","취득세","acquisition-tax.ts","price,houseCount,isRegulatedArea","원/만원","원","ordinary rate 1%, linear 6-9억, 3%; heavy 8%/12% by house count and regulation flag","6-9억 rate rounded to 4 decimal places in percent before tax; won rounded","acquisition-tax-residential","2026-07-01","https://law.go.kr","2026-07-28","P0-V"
"/acquisition-tax-calculator","취득세","acquisition-tax.ts","floorAreaOver85,firstHomeDiscountType","boolean,enum","boolean,enum","local education tax uses ordinary/heavy policy branch; special rural tax applied when over 85㎡; first-home discount capped by selected assumption","won rounded; discount cannot make negative tax","acquisition-tax-residential","2026-07-01","https://law.go.kr","2026-07-28","P0-V"
"/real-estate-brokerage-fee-calculator","부동산 중개수수료","brokerage-fee.ts","transactionAmount,deposit,monthlyRent,customRate","원/만원,%","원,percent","fee = transactionAmount * min(customRate, legalRate); monthly rent amount = deposit + rent * 100 or rent * 70 under low threshold","won rounded; cap at legal limit","brokerage-fee-seoul-housing","2026-01-01","https://law.go.kr","2026-07-28","P1"
"/monthly-rent-conversion-calculator","월세 전세 환산","rent-conversion.ts","jeonseAmount,deposit,monthlyRent,conversionRate,years","원/만원,%,년","원,percent,년","jeonse->rent = (jeonse - deposit) * rate / 12; rent->jeonse = deposit + monthlyRent * 12 / rate; period rent = monthlyRent * 12 * years","won rounded","rent-conversion-legal-ceiling","2026-07-16","https://www.bok.or.kr","2026-07-28","P1"
"/housing-subscription-score-calculator","청약 가점","subscription-score.ts","birthDate,marriageDate,homelessStartDate,announcementDate","date","Date","homeless start = max(age 30 or marriage date, homeless start); score by policy tables","integer score","subscription-score","2026-06-15","https://www.applyhome.co.kr","2026-07-28","P1/P0-V"
"/housing-subscription-score-calculator","청약 가점","subscription-score.ts","dependents,accountStartDate,spouseAccountStartDate","명,date","integer,Date","dependent score by confirmed count; applicant account score plus spouse max 3, combined max 17","integer score","subscription-score","2026-06-15","https://www.applyhome.co.kr","2026-07-28","P1/P0-V"
"/electricity-bill-calculator","전기요금","finance.ts","monthlyUsageKwh,season","kWh,enum","kWh,enum","base fee plus tiered energy charge plus climate and fuel adjustment","won rounded","electricity-bill","","https://cyber.kepco.co.kr","2026-07-28","P0-V"
"/air-conditioner-electricity-cost-calculator","에어컨 전기세","finance.ts","powerWatts,hoursPerDay,daysPerMonth,pricePerKwh","W,시간,일,원/kWh","kW,시간,일,원/kWh","monthlyUsageKwh = W / 1000 * hours * days; cost = kWh * price","kWh 2 decimals; won rounded","none","","","2026-07-28","P1"
"/monthly-living-expense-calculator","월 생활비","finance.ts","monthlyNetIncome,categories","원/만원","원","totalExpense = sum categories; remaining = income - total; expenseRate = total / income * 100","won rounded; percent 2 decimals","none","","","2026-07-28","P2"
"/take-home-pay-calculator","실수령액","finance.ts","annualSalary,annualBonus,monthlyNonTaxable,dependents,childrenUnder20","원/만원,명","원,integer","gross annual minus insurance and estimated yearly progressive income tax","won rounded","take-home-pay","","https://www.nts.go.kr","2026-07-28","P0-V"
"/car-maintenance-cost-calculator","자동차 유지비","finance.ts","monthlyDistanceKm,fuelEfficiencyKmPerL,fuelPricePerL","km,km/L,원/L","km,km/L,원/L","monthlyFuelCost = distance / efficiency * fuel price; total = fuel plus fixed monthly costs","won rounded","none","","","2026-07-28","P1"
"/loan-interest-calculator","일반 대출이자","finance.ts -> loan.ts","principal,annualRate,years,repaymentType","원/만원,%,년","원,percent,개월","same common loan engine as loan.ts","won rounded","loan-interest","","","2026-07-28","PASS/P2"
"/dividend-income-calculator","배당금","finance.ts","investmentAmount,dividendYield,taxRate,frequency,targetMonthlyDividend","원/만원,%,회","원,percent,integer","gross annual = investment * yield; net annual = gross * (1 - tax); monthly average = net / 12; per payment = net / frequency","won rounded","dividend-income","","https://www.nts.go.kr","2026-07-28","P1"
"/exchange-rate-calculator","환율","finance.ts","krwAmount,exchangeRate,feeRate,backExchangeRate","원/만원,원/외화,%","원,rate,percent","foreign = krw / exchangeRate; fee in foreign; backToKrw = foreignAfterFee * backExchangeRate","foreign 2 decimals; won rounded","exchange-rate","","","2026-07-28","P0-V not reproduced"
"/overseas-stock-capital-gains-tax-calculator","해외주식 양도세","finance.ts","buyPrice,sellPrice,shares,buyRate,sellRate,fees","외화,주,원/외화,원","number,integer,rate,원","purchaseKrw = buyPrice * shares * buyRate; saleKrw = sellPrice * shares * sellRate; gain = sale - purchase - fees; taxable = max(0, gain - 2,500,000); tax = taxable * 22%","won rounded","overseas-stock-tax","","https://www.nts.go.kr","2026-07-28","P0-V"
"/severance-pay-calculator","퇴직금","finance.ts","averageMonthlyWage,years,extraMonths,taxRate","원/만원,년,개월,%","원,년,개월,percent","gross = averageMonthlyWage * (years + months / 12); estimatedTax = gross * taxRate","won rounded","none","","","2026-07-28","unscoped extra public calculator"
