"policyId","module","version","effectiveFrom","effectiveTo","verifiedAt","officialSourceName","officialSourceUrl","status","notes"
"acquisition-tax-residential","src/config/acquisition-tax-rates.ts","2026-07-01 참고용","2026-07-01","","2026-07-28","국가법령정보센터 지방세법 제11조·제151조","https://law.go.kr","partial","주택 유상매매 간편 범위. 상속·증여·법인·오피스텔·특례 제외."
"brokerage-fee-seoul-housing","src/config/brokerage-rates.ts","2026-01 참고용","2026-01-01","","2026-07-28","공인중개사법 시행규칙 및 지자체 조례","https://law.go.kr","partial","서울 주택 기준으로 동작하나 지역·물건 유형 입력은 없음."
"rent-conversion-legal-ceiling","src/config/rent-conversion-rules.ts","2026-07-16 참고용","2026-07-16","","2026-07-28","주택임대차보호법·한국은행 기준금리","https://www.bok.or.kr","partial","전세→월세 법정 상한 참고값. 월세→전세는 비교용 역산."
"dsr-stress","src/config/dsr-rules.ts","2026-07-01 참고용","2026-07-01","","2026-07-28","금융위원회 스트레스 DSR 운영방향","https://www.fsc.go.kr","partial","정책 판정 입력 모델은 단순화. 실제 금리와 심사용 금리는 화면에서 분리."
"subscription-score","src/config/subscription-score-rules.ts","2026-06-15 참고용","2026-06-15","","2026-07-28","청약홈·주택공급 규칙","https://www.applyhome.co.kr","partial","점수표와 날짜 계산은 분리. 부양가족 법적 인정은 사용자가 확인한 수 입력."
"loan-interest","src/lib/calculators/loan.ts","none","","","2026-07-28","not policy-bound","","pass","금액 원, 비율 %, 기간 년→개월."
"take-home-pay","src/lib/calculators/finance.ts","missing","","","2026-07-28","국민연금·건강보험·국세청 간이세액표","https://www.nts.go.kr","p0-v","정책 상수와 간이세액표 버전 객체 없음."
"electricity-bill","src/lib/calculators/finance.ts","missing","","","2026-07-28","한국전력 전기요금표","https://cyber.kepco.co.kr","p0-v","주택용 저압 핵심요금 단순 추정. VAT·기금·할인 정책 버전 없음."
"overseas-stock-tax","src/lib/calculators/finance.ts","missing","","","2026-07-28","국세청 해외주식 양도소득세 안내","https://www.nts.go.kr","p0-v","단일 거래 모델. 연간 다거래 손익통산 DTO 없음."
"dividend-income","src/lib/calculators/finance.ts","missing","","","2026-07-28","국세청 배당소득 원천징수 안내","https://www.nts.go.kr","p1","국내 원화 단순 모델. 해외 통화·환율 입력 없음."
"exchange-rate","src/lib/calculators/finance.ts","none","","","2026-07-28","user-provided rate","","pass","KRW→외화, 수수료 0% 왕복 테스트 대상."
"car-maintenance-cost","src/lib/calculators/finance.ts","none","","","2026-07-28","not policy-bound","","p1","전기차 안내와 km/L·원/L 입력 단위 불일치."
